股票代號,股票名稱,產業別,公司名稱,英文名稱,成立時間,上市時間,資本額,目前市值,發行股數,財報編制類型,董事長,總經理,發言人,代理發言人,統一編號,總機電話,傳真電話,公司電郵,公司網址,中文地址,英文地址,主要業務,股票過戶機構,過戶機構電話,過戶機構地址,簽證會計事務所,簽證會計師,投資人關係聯絡人,投資人關係連絡電話,利害關係人專區網址,上市/上櫃,每股面值,公司債發行,特別股,盈餘分派頻率,發言人職稱,聯絡人職稱,聯絡人電子郵件,國外企業註冊地
1213,大飲,食品工業,大西洋飲料股份有限公司,N,7/24/1965,7/24/1965,5.66 億元,4.77 億元,"56,622,627 股  (含私募0股)",合併,王鎮民,王鎮民(兼),王鎮民,洪松輝,35012903,(02)2982-0061,(02)2984-1154,c5012903@ms23.hinet.net,http://applesidra.com.tw,新北市三重區重陽路三段99號10樓,"10F,99,Sec.3,Chung Yang Road,San Chung City,Taipei Hsien,Taiwan,R.O.C.",製造蘋果汽水礦泉水及各種汽水飲料等之批發經銷各國及國內有關飲料之產品副產品加工產品百貨批發,大西洋飲料股份有限公司,(02)2982-0061,新北市三重區重陽路三段99號10樓,南台聯合會計師事務所,"丁澤祥, 蔡玉琴",何宗銘,02-29820061#276,http://applesidra.com.tw,上市,新台幣 10 元,無,0 股,每年,董事長,襄理,c5012903@ms23.hinet.net,
1215,卜蜂,食品工業,台灣卜蜂企業股份有限公司,CPE,8/22/1977,8/22/1977,26.8 億元,214.4 億元,"267,990,998 股  (含私募0股)",合併,鄭武樾,許瑞通,劉明哲,謝筱芬,36514783,02-25077071,02-25064137,service@cptwn.com.tw,http://www.cptwn.com.tw,台北市松江路八十七號十七樓,"17F., 87 Sung Chiang Road,Taipei, Taiwan 104",各種飼料生產加工配製銷售進口及買賣各種禽畜育種、電動屠宰業務及各種禽畜加工品製品銷售各種肉類加工品與調理食品及蛋品生產銷售等業務,中國信託商業銀行代理部,02-66365566,台北市重慶南路一段八十三號五樓,資誠聯合會計師事務所,"林一帆, 翁世榮",劉明哲,02-25077071,http://www.cptwn.com.tw/cpwebsite/profile6.html,上市,新台幣 10 元,無,0 股,每年,特別助理,特別助理,service@cptwn.com.tw,
1216,統一,食品工業,統一企業股份有限公司,UNI-PRESIDENT,8/25/1967,8/25/1967,568.2 億元,4210.4 億元,"5,682,015,421 股  (含私募0股)",合併,羅智先,黃釗凱、李清田,陳國煇,涂忠正,73251209,(06)253-2121,(06)253-2661,jlian@mail.pec.com.tw,https://www.uni-president.com.tw,71001台南市永康區中正路301號,"No.301, Zhongzheng Rd., Yongkang Dist.,Tainan City 71001, Taiwan (R.O.C.)",食品事業、便利商店事業、流通事業包裝容器事業、食糧事業、油品事業其他(製藥事業、休閒開發事業、物流事業等),統一綜合證券(股)公司股務代理部,(02)2746-3797,10570台北市松山區東興路8號統一大樓地下室一樓,資誠聯合會計師事務所,"林姿妤, 林永智",歐孋瑩,(02)8786-6888-2536,https://www.uni-president.com.tw/,上市,新台幣 10 元,有,0 股,每年,財務長,課長,public@mail.pec.com.tw,
1217,愛之味,食品工業,愛之味股份有限公司,AGV,6/26/1971,6/26/1971,49.5 億元,55.6 億元,"494,513,336 股  (含私募0股)",合併,陳冠翰,陳志展,陳冠翰,陳志展 陳建華 蕭宏基,65534366,05-2211521-4,05-2216287,YUEHCHU@mail.agv.com.tw,www.agv.com.tw,嘉義縣民雄鄉工業二路11號,"NO.11,Kung Yeh Second Rd.,Min Hsiong Industrial ZoneChiayi Hsien,Taiwan",食品,群益金鼎證券股份有限公司,02-27023999,台北市大安區敦化南路二段97號地下二樓,國富浩華聯合會計師事務所,"蔡淑滿, 李青霖",蔡月足,05-2211521,www.agv.com.tw,上市,新台幣 10 元,無,0 股,每年,董事長,總監,YUEHCHU@mail.agv.com.tw,
1218,泰山,食品工業,泰山企業股份有限公司,TAISUN,10/26/1950,10/26/1950,50 億元,149.7 億元,"499,999,038 股  (含私募0股)",合併,詹逸宏,詹景超,劉韋辰,彭碧珍,59661701,04-8742211,04-8758989,taisunir@taisun.com.tw,www.taisun.com.tw,彰化縣田中鎮興工路6號,"No.6, Xinggong Rd., Tianzhong Township.Changhua County 520, Taiwan (R.O.C.)",各種食用油脂之精製及批發零售.各種清涼飲料.冷凍調理食品各種禽畜魚類飼料之加工製造及買賣,元大證券股份有限公司,02-25865859,台北市承德路三段210號B1,安侯建業聯合會計師事務所,"曾國禓, 陳宗哲",劉韋辰,02-2506-4152#9350,http://www.taisun.com.tw/corporate/stakeholder/,上市,新台幣 10 元,無,0 股,每年,經理,經理,taisunir@taisun.com.tw,
1219,福壽,食品工業,福壽實業股份有限公司,FWUSOW,2/7/1955,2/7/1955,32.2 億元,84 億元,"322,013,887 股  (含私募0股)",合併,洪堯昆,洪碩嬪,王四全,陳祺炆,56192402,04-26362111,04-26358452,fwusow@fwusow.com.tw,www.fwusow.com.tw,台中市沙鹿區沙田路45號,"45,Sha-Tyan,Sha-LuTaichung Taiwan R.O.C",食用油脂、動物飼料、穀物食品、寵物食品、有機肥料等生產及銷售進出口國際貿易大宗穀物進口與銷售,凱基證券股份有限公司,02-23892999,100台北市重慶南路一段2號5樓,群智聯合會計師事務所,"呂松裕, 陳芓伃",王四全,04-26362111#210,http://www.fwusow.com.tw/information/itemlist/cate,上市,新台幣 10 元,無,0 股,每年,特助,特助,scwang@fwusow.com.tw,
1220,台榮,食品工業,台榮產業股份有限公司,TAIROUN,3/13/1969,3/13/1969,17.7 億元,30.3 億元,"177,077,944 股  (含私募0股)",合併,陳維恭,陳英凱,陳玉能,黃棣楨,3543210,(02)2506-9521,(02)2507-7020,glen6572@tairoun.com.tw,http://www.tairoun.com.tw/,台北市中山區南京東路二段206號6樓,"6TH FL. NO. 206. NANKING E. RD., SEC. 2Taipei,Taiwan,ROC",飼料製造販賣果糖製造販賣玉米澱粉製造販賣,中國信託商業銀行代理部,(02)66365566,台北市重慶南路一段83號5樓,立本台灣聯合會計師事務所,"柯俊輝, 陳怡琳",陳玉能,(02)2506-9521,http://www.tairoun.com.tw/relationship.html,上市,新台幣 10 元,無,0 股,每年,副總經理,副總經理,otto@tairoun.com.tw,
1225,福懋油,食品工業,福懋油脂股份有限公司,FOPCO,4/18/1986,4/18/1986,21.9 億元,125.8 億元,"218,703,051 股  (含私募0股)",合併,晉昇投資有限公司,許逸群,郭中儀,李建儀,22102298,25073121,(02)25071312,cherry.lin@fopco.com.tw,www.fopco.com.tw,台中市大肚區沙田路一段453號,"3RD FL,150 NANKING EAST RD, SEC.2 TAIPEI TAIWAN R.O.CTAIPEI TAIWAN R.O.C.",麵粉，飼料，黃豆油，黃豆粉，大麥片，玉米粉之製造與銷售。家畜，家禽之養殖及肉類之加工銷售。一般進口貿易業務(許可業務除外)。,群益金鼎證券股份有限公司,02-27023999,台北市敦化南路二段97號地下二樓,勤業眾信聯合會計師事務所,"廖婉怡, 陳招美",郭中儀,02-25073121#122,WWW.FOPCO.COM.TW,上市,新台幣 10 元,無,0 股,每年,資深經理,資深經理,matt.kuo@fopco.com.tw,
1227,佳格,食品工業,佳格食品股份有限公司,S.F.C,6/6/1986,6/6/1986,91.5 億元,509.7 億元,"915,089,591 股  (含私募0股)",合併,曹德風,曹博睿,曹德風,陳俊明,22102473,2709-2323,2706-7955,spokesperson1@sfworldwide.com,http://www.sfworldwide.com/,台北市仁愛路三段136號5樓,"5th Floor, Lotus Building,No.136, Jen Ai Road, Sec. 3,Taipei,Taiwan,R.O.C.","嬰兒麥粉,麥片及相關產品之生產製造食用油及滋養飲料粉之分裝,加工,銷售業務一般進出口貿易",中國信託商業銀行代理部,(02)6636-5566,台北市重慶南路一段83號5樓,勤業眾信聯合會計師事務所,"龔則立, 陳致源",曾玉如,2709-2323 分機688,http://www.sfworldwide.com/content.aspx?page=csr5,上市,新台幣 10 元,無,0 股,每年,董事長,財務副理,Anita@sfworldwide.com,
1229,聯華,食品工業,聯華實業投資控股股份有限公司,LHIHC,7/20/1955,7/20/1955,128.1 億元,607.4 億元,"1,281,498,215 股  (含私募0股)",合併,苗豐強,林信宏,林信宏,嚴文卿,11996904,(02)2786-1188,(02)2786-3232,info@lhic.com.tw,https://www.lhicholdings.com/,臺北市大同區承德路一段44號6樓,"6F., No.44, Sec. 1, Chengde Rd., Datong DistrictTAIPEI,TAIWAN,R.O.C",一般投資業,中國信託商業銀行代理部,(02)6636-5566,台北市重慶南路一段83號5樓,安侯建業聯合會計師事務所,"江曉苓, 楊柳鋒",張玉虎,02-27861188 # 1622,https://www.lhicholdings.com/csr/index/crs-stakeho,上市,新台幣 10 元,無,0 股,每年,總經理,財會中心經理,ir@lhic.com.tw,
1231,聯華食,食品工業,聯華食品工業股份有限公司,Lian Hwa Foods,7/7/1970,7/7/1970,18.3 億元,107.4 億元,"183,325,165 股  (含私募0股)",合併,李開源,林家齊,林志遠,陳姵岑,7569627,(02)25534546,(02)25533479,tomlin@lianhwa.com.tw,www.lianhwa.com.tw,台北市迪化街一段148號,"148 TI HWA STREET SEC.1,Taipei,Taiwan,R.O.C",食品,永豐金證券股份有限公司,(02)23816288,台北市博愛路17號3樓,勤業眾信聯合會計師事務所,"張清福, 趙永祥",林志遠,(02)25521666-1580,http://lianhwa.varynice.com/column_list.php?conten,上市,新台幣 10 元,無,0 股,每年,財務處協理,財務處協理,tomlin@lianhwa.com.tw,
1232,大統益,食品工業,大統益股份有限公司,TTET,5/24/1982,5/24/1982,16 億元,260.8 億元,"159,974,915 股  (含私募0股)",合併,羅智先,陳昭良,陳昭良,胡育誌,20927014,06-698-4500,06-698-5530,finance@mail.ttet.com.tw,http://www.ttet.com.tw,台南市官田區二鎮里工業西路32號,"32, Gongye West Road, Erzhen Village, Guantian District, Tainan City, TaiwanTAINAN CITY, TAIWAN",黃豆油、粉加工，製造及銷售,統一綜合證券股份有限公司,02-2746-3797,台北市東興路8號地下一樓,資誠聯合會計師事務所,"林姿妤, 林永智",胡育誌,06-6984500#800,http://www.ttet.com.tw/bg/Stakeholder/index5.php,上市,新台幣 10 元,無,0 股,每年,總經理,副總經理,hu@mail.ttet.com.tw,
1233,天仁,食品工業,天仁茶業股份有限公司,Ten Ren,12/11/1975,12/11/1975,9.06 億元,33.4 億元,"90,591,948 股  (含私募0股)",合併,李國麟,林仁宗,陳中智,王文嫻,18559415,02-27765580,02-27403035,chafortea@tenren.com.tw,http://www.tenren.com.tw/,台北市忠孝東路4段107號6樓,"6F. NO.107,SEC 4, Chung Hsiao East Road,Taipei, Taiwan, ROC",茶葉製造加工茶葉製品買賣茶相關製品,元大證券股份有限公司,02-25865859,台北市承德路3段210號地下一樓,安永聯合會計師事務所,"呂倩雯, 劉慧媛",王文嫻,02-27765580,http://www.tenren.com.tw/Content/IRContactUS/Conta,上市,新台幣 10 元,無,0 股,每年,財務暨行政協理,總經理室經理,joy66888.wang@gmail.com,
1234,黑松,食品工業,黑松股份有限公司,HEY-SONG,12/13/1969,12/13/1969,40.2 億元,144.5 億元,"401,871,094 股  (含私募0股)",合併,張斌堂,張斌堂,杜居燦,蔡曜光,20651901,(02)2706-2191,(02)2755-2119,heysong@heysong.com.tw,www.heysong.com.tw,台北市信義路四段296號3樓,"3RD FL. NO. 296, SEC. 4, HSIN YI RD.TAIPEI, TAIWAN, R.O.C.","碳酸飲料,酒類,果蔬汁,咖啡飲料,運動飲料等.",宏遠證券股份有限公司股務代理部,(02)7719-8899,台北市大安區信義路四段236號3樓,勤業眾信聯合會計師事務所,"郭乃華, 池瑞全",杜居燦,27062191#403,http://www.heysong.com.tw/Stakeholder/Stakeholder,上市,新台幣 10 元,無,0 股,每年,財務處處長,財務處處長,16222@heysong.com.tw,
1235,興泰,食品工業,興泰實業股份有限公司,ST,11/15/1972,11/15/1972,10.4 億元,36.5 億元,"104,397,985 股  (含私募0股)",合併,吳星澄,吳星澄,葉文隆,蘇玲慧,85617982,07-3425301-5,07-3425694,shintai1235@seed.net.tw,www.shintai-feed.com.tw,高雄市仁武區高楠公路10號,10 KAO-NANG HIGHWAYJEN-WUH KAOHSIUNG TAIWAN R.O.C.,飼料,國票綜合證券股份有限公司,02-25936666,10369台北市重慶北路3段199號4樓,群智聯合會計師事務所,"呂松裕會計師, 陳芓(人予)會計師",葉文隆,07-3425301,http://www.goldenbrand.com.tw/stakeholder.php,上市,新台幣 10 元,無,0 股,每年,法務處經理,法務處經理,shintai1235@seed.net.tw,
1236,宏亞,食品工業,宏亞食品股份有限公司,Hunya,6/14/1976,6/14/1976,10.8 億元,15.7 億元,"108,342,510 股  (含私募0股)",合併,張云綺,張云綺,余彩雲,吳哲維,34106066,(02)29180786,(02)29180706,hunya.com.tw,www.hunya.com.tw,新北市新店區寶興路45巷8弄3號5樓,"3,Alley8,Lane45,Pao Hsin Rd;Hsin Tien,Taipei,Taiwan,R.O.C.",糖果、餅乾、巧克力之製造、加工及買賣。月餅、西點、麵包糕餅等食品之製造、加工及買賣。七七巧克力、禮坊名店。,群益金鼎證券股份有限公司,(02)2702-3999,台北市大安區敦化南路2段97號地下2樓,安永聯合會計師事務所,"徐榮煌, 黃建澤",余彩雲,(02)29180786,http://www.hunya.com.tw/iz/article/cont.aspx,上市,新台幣 10 元,無,0 股,每年,財務經理,財務經理,christineyu@hunya.com.tw,
1256,鮮活果汁-KY,食品工業,鮮活控股股份有限公司,Sunjuice,1/12/2010,1/12/2010,3.38 億元,150.9 億元,"33,842,160 股  (含私募0股)",合併,黃國晃,王明智,吳明憲,黃永霞,37759808,512-57515501,512-57515503,XH@sunjuice.com.cn,http://www.myfreshjuice.com,"Genesis Close, PO Box 446, Cayman Islands, KY1-1106","P.O. BOX 10338,GRAND CAYMAN KY1-1003Grand Cayman KY1-1003,Cayman Islands",果汁、果粒、果粉類等產品之生產與銷售,兆豐證券股份有限公司股務代理部,02-33930398,台北市忠孝東路二段95號1樓,勤業眾信聯合會計師事務所,"謝明忠, 呂宜真",吳明憲,972522666,http://www.myfreshjuice.com,上市,新台幣 10 元,無,0 股,每年,董事,董事／發言人,sam.wu@sunjuice.com.cn,
1301,台塑,塑膠工業,台灣塑膠工業股份有限公司,FPC,11/5/1954,11/5/1954,636.6 億元,6811.3 億元,"6,365,740,781 股  (含私募0股)",合併,林健男,林健男,林勝冠,張嘉澤,75708007,(02)2712-2211,(02)2717-8108,formosa@fpc.com.tw,http://www.fpc.com.tw,高雄市仁武區水管路100號,"4F, 201, Tung Hwa North RoadTaipei, Taiwan, R.O.C.",聚氯乙烯(PVC)、氯乙烯、液(石咸)、聚丙烯、高密度聚乙烯聚乙烯醋酸乙烯酯、低密度聚乙烯、線性低密度聚乙烯、丙烯酸酯高吸水性樹脂、碳素纖維、丙烯睛、甲基丙烯酸甲酯及環氧氯丙烷等,本公司股務組,(02)2718-9898,台北市敦化北路201號後棟1樓,安侯建業聯合會計師事務所,"寇惠植, 于紀隆",劉祈廷,(02)2712-2211,http://www.fpc.com.tw/fpcw/index.php?op=res&id=18,上市,新台幣 10 元,無,0 股,每年,資深副總經理,組長,formosa@fpc.com.tw,
1303,南亞,塑膠工業,南亞塑膠工業股份有限公司,NPC,8/22/1958,8/22/1958,793.1 億元,6891.9 億元,"7,930,821,589 股  (含私募0股)",合併,吳嘉昭,鄒明仁,吳嘉昭,葉明忠,75370905,(02)27122211,(02)27178533,nanya@npc.com.tw,http://www.npc.com.tw,台北市敦化北路201號,"201, TUNG HWA NORTH ROADTAIPEI TAIWAN, REPUBLIC OF CHINA",各種塑膠加工品、塑膠原料、電子材料、聚酯纖維之製銷及染整加工 、配電盤,本公司股務組,(02)27189898,台北市敦化北路201號後棟一樓,安侯建業聯合會計師事務所,"郭欣頤, 于紀隆",彭福榮,(02)27122211,http://www.npc.com.tw/j2npc/zhtw/stakeholder.jsp,上市,新台幣 10 元,無,0 股,每年,董事長,協理,nanya@npc.com.tw,
1304,台聚,塑膠工業,台灣聚合化學品股份有限公司,USI,5/26/1965,5/26/1965,118.9 億元,417.3 億元,"1,188,763,500 股  (含私募0股)",合併,吳亦圭,王克舜,吳銘宗,甘霖,11917107,02-87516888,02-26599524,mtwu@usig.com,www.usife.com.tw,台北市內湖區基湖路37號12樓,"12TH FLOOR, NO. 37 JI-HU ROAD, NEI-HU DISTRICTTAIPEI 114, TAIWAN, R.O.C.",塑膠原料之製造、加工及銷售電子材料其他,本公司股務部,02-26503773,台北市內湖區內湖路一段120巷17號6樓,勤業眾信聯合會計師事務所,"莊碧玉, 郭政弘",甘霖,02-87516888分機3795,https://www.usife.com/CSR/default.aspx,上市,新台幣 10 元,無,0 股,每年,業務處協理,會計長,EKan@usig.com,
1305,華夏,塑膠工業,華夏海灣塑膠股份有限公司,CGPC,4/29/1964,4/29/1964,55.3 億元,216.1 億元,"553,381,423 股  (含私募0股)",合併,吳亦圭,林漢福,胡吉宏,劉傳源,11686106,(02)8751-6888,(02)2659-9553,cgpcstkqa@cgpc.com.tw,https://www.cgpc.com.tw,台北市內湖區基湖路37號12樓,"12th Floor , NO.37 , Ji-Hu Rd. Nei-Hu DistrictTaipei, Taiwan, R.O.C.",從事生產與銷售塑膠布，塑膠皮，塑膠管，塑膠粒塑膠粉，鹼氯品及其它有關產品為主要業務,本公司股務部,(02)2650-3773,台北市內湖區內湖路一段120巷17號6樓,勤業眾信聯合會計師事務所,"黃秀椿, 邱政俊",胡吉宏,(02)2650-3708,https://www.cgpc.com.tw/zh-tw/dirCSR/frmCSR0F.aspx,上市,新台幣 10 元,無,0 股,每年,副總經理,副總經理,ottohu@cgpc.com.tw,
1307,三芳,塑膠工業,三芳化學工業股份有限公司,SAN FANG,6/16/1973,6/16/1973,39.8 億元,85.9 億元,"397,818,126 股  (含私募0股)",合併,林孟經,林至逸,林信宏,陳偉鉅,83387850,(07)3712111,(07)3711940,service@sanfang.com.tw,http://www.sanfang.com.tw,高雄市三民區通化街120號,"402 FENGJEN RD.,JENWU SHIANG,KAOSHIUNG,TAIWAN",聚氨基甲酸加工品之製銷事項不織布起毛布加工品製銷染整事項聚氯乙烯加工之製銷事項塑膠加工品生產技術研究改良事項各種皮革加工之製銷事項有關事業之投資經營事項,中國信託代理部,(02)6636-5566,台北市重慶南路一段83號5樓,勤業眾信會計師事務所,"吳秋燕, 江佳玲",林信宏,73712111,http://www.sanfang.com.tw/main/ems_c01.asp,上市,新台幣 10 元,無,0 股,每年,副總經理,副總經理,lhh@sanfang.com.tw,
